company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,data_peer_count,avg_priority_score,top_persona,top_area,strategic_potential,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
Obras Sociais Irmã Dulce,1,0,0,0,0,0,20.0,HR,HR,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Octopus Energy,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Oliveira Araújo Engenharia,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Onze Copos,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
PGMAK Projetos e Gerenciamento,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
PUR EQUIPAMENTOS INDUSTRIAIS,1,0,0,0,0,0,20.0,HR,HR,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Peter Park,1,0,0,0,0,0,20.0,Other,Management,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Pinnacle - AI Coaching,1,0,0,0,0,0,20.0,Other,Other,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Power Moto Group,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Ready,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Recast,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Rede SENAI-RS de Institutos de Tecnologia e Inovação,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Rilex Preservativos - UseRilex,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Rotoplastyc,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
SACOR Siderotecnica,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
SARIA Group,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
SET University,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Sanar,1,0,0,0,0,1,20.0,Data Scientist,Data Science / AI,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Selbetti Tecnologia,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Sellbie,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Share Business,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Shift,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Shuffle Up,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Sonoco,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Space Plan,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Stalse,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
SwitchUp,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Syneos Health via AMS,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Synopsis S.A,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
TALBOOST LTD,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
TITANS CZ,1,0,0,0,0,0,20.0,Other,Management,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Talent Hub,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
The Lubrizol Corporation,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Topflex Distribuidor de Alimentos Ltda,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Torp,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Trinnus RH,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
TrustYou,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Uscreen,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
VEC,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
VFX Financial,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
VRV SUBSEA & DRILLING REPAIR,1,0,0,0,0,0,20.0,HR,HR,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Vert Integradora de TI,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Virtual Minds,1,0,0,0,0,0,20.0,Other,Operations,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Visiontec,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Vorbrix,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
dnata,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ioasys,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
isolutions AG,1,0,0,0,0,0,20.0,Other,Other,10.1,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
rpc - The Retail Performance Company,1,0,0,0,0,0,20.0,Other,Other,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
talentsconnect Group,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
yampa - Gestão Financeira,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Árbore Engenharia,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Takeda,3,0,0,0,0,0,19.3,Other,Other,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
artevie group,3,0,0,0,0,0,19.3,Other,Management,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Autonomo,2,0,0,0,0,1,19.5,Data Analyst,Analytics,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
CMAA OFICIAL - Companhia Mineira de Açúcar e Álcool,2,0,0,0,0,0,19.5,Other,HR,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Essbio,2,0,0,0,0,0,19.5,HR,HR,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Ramasa Auto,2,0,0,0,0,0,19.5,HR,HR,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Loc Frotas,2,0,0,0,0,0,19.5,HR,HR,10.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
TPC Logística Inteligente,8,0,0,0,0,0,18.1,Other,Other,9.9,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ALLOS,3,0,0,0,0,1,19.0,Other,Other,9.8,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Caterpillar Inc,3,0,0,0,0,1,19.0,Other,Other,9.8,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Promon Engenharia,3,0,0,0,0,0,19.0,HR,HR,9.8,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
CredAluga,2,0,0,0,0,0,19.0,Other,Management,9.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
E-IT,2,0,0,0,0,0,19.0,Other,Management,9.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Fraunhofer Institute for Production Technology IPT,2,0,0,0,0,0,19.0,Other,Other,9.7,GLOBAL_TECH,LOW,company name contains tech keyword: 'technology',,,
GCB Investimentos,2,0,0,0,0,0,19.0,Other,Management,9.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Solução & Cia,2,0,0,0,0,1,19.0,Data Engineer,Data Engineering,9.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Nordex Group,2,0,0,0,0,0,19.0,Other,Other,9.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Prosegur,2,0,0,0,0,0,19.0,HR,HR,9.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Rede D'Or São Luiz,4,0,0,0,0,1,18.5,Other,Analytics,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Frimesa,3,0,0,0,0,0,18.7,Other,Management,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Rumo,3,0,0,0,0,0,18.7,Other,Management,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
AA Euro Group,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
AK Business Intelligence LLC,1,0,0,0,0,0,19.0,Consultant,BI,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
AR Consultoria,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
ARIMANY Selecció de Talent,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Active Recruitment SEN Ltd,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Allianz Partners,1,0,0,0,0,0,19.0,Consultant,HR,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Alpha Color | Pintura Eletrostática Ltda,1,0,0,0,0,0,19.0,Other,HR,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Amadeus FiRe,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Amadeus Fire Group,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Americas,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Apex Resources Ltd,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Ascenda Consultoria de Carreira,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
Avanzza Bolivia,1,0,0,0,0,0,19.0,Other,Other,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
BBC Carreira & RH,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
"BCR.CX, Zendesk Commitment to Excelence Award 2025",1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
BI4ALL,1,0,0,0,0,0,19.0,Consultant,Analytics,9.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
