rank,company_canonical,unresolved_contact_count,cumulative_contacts,cumulative_pct_of_unresolved,recruiter_count,talent_acquisition,hiring_managers,data_leaders,avg_priority_score,suggested_bucket,suggested_confidence,suggested_reason
146,INNOVA-TSN,2,391,16.3,0,0,0,0,24.5,,0.0,no usable signal yet — candidate for manual company mapping override
147,TALENTHACKERS BY CATENON,2,393,16.4,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
148,TALENTIA,2,395,16.5,0,0,0,0,20.5,,0.0,no usable signal yet — candidate for manual company mapping override
149,TALENTION,2,397,16.6,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
150,ESCOLA DA NUVEM,2,399,16.6,0,0,0,0,13.5,,0.0,no usable signal yet — candidate for manual company mapping override
151,DEEL,2,401,16.7,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
152,FAMI CAPITAL,2,403,16.8,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
153,TIKTOK,2,405,16.9,0,0,0,0,13.0,,0.0,no usable signal yet — candidate for manual company mapping override
154,TIMEPARTNER PERSONALMANAGEMENT,2,407,17.0,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
155,TRAFIGURA,2,409,17.1,0,0,0,0,32.0,,0.0,no usable signal yet — candidate for manual company mapping override
156,TRILLIA,2,411,17.1,0,0,0,0,20.5,,0.0,no usable signal yet — candidate for manual company mapping override
157,UNCOVER,2,413,17.2,0,0,0,0,22.5,,0.0,no usable signal yet — candidate for manual company mapping override
158,UNIVERSIDADE CIMATEC,2,415,17.3,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
159,VALUENET,2,417,17.4,0,0,0,0,17.0,,0.0,no usable signal yet — candidate for manual company mapping override
160,VERICODE,2,419,17.5,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
161,VESTAS,2,421,17.6,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
162,VETTA,2,423,17.6,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
163,KUEHNE+NAGEL,2,425,17.7,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
164,VOLVO,2,427,17.8,0,0,0,0,34.0,,0.0,no usable signal yet — candidate for manual company mapping override
165,WAYON IT,2,429,17.9,0,0,0,0,22.0,,0.0,no usable signal yet — candidate for manual company mapping override
166,WARREN INVESTIMENTOS,2,431,18.0,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
167,IBGE,2,433,18.1,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
