company_clean,connection_count,recruiter_count,hiring_mgr_count,data_leader_count,avg_priority_score,company_canonical,manual_market,manual_category,manual_notes
BIGSEO,1,0,0,0,28.0,BIGSEO,,,
BIGZON,1,0,0,0,22.0,BIGZON,,,
BLUST | Consultora Boutique de Personas y Talento,1,0,0,0,19.0,BLUST | CONSULTORA BOUTIQUE DE PERSONAS Y TALENTO,,,
BM GROUP Bolivia,1,0,0,0,16.0,BM BOLIVIA,,,
BM VAGAS,1,0,0,0,8.0,BM VAGAS,,,
BMN Nederland,1,0,0,0,12.0,BMN NEDERLAND,,,
BMNS,1,0,0,0,31.0,BMNS,,,
BOMIX INDÚSTRIA DE EMBALAGENS LTDA,1,0,0,0,18.0,BOMIX INDÚSTRIA DE EMBALAGENS,,,
BRINK Group,1,0,0,0,25.0,BRINK,,,
BROSETA,1,0,0,0,12.0,BROSETA,,,
BUTTER. GmbH,1,0,0,0,12.0,BUTTER,,,
Bachpan Save The Innocence,1,0,0,0,8.0,BACHPAN SAVE THE INNOCENCE,,,
BackpackingIT,1,0,0,0,25.0,BACKPACKINGIT,,,
Baku Heritage Tours - DMC,1,0,0,0,8.0,BAKU HERITAGE TOURS - DMC,,,
Balanz Uruguay,1,0,0,0,40.0,BALANZ URUGUAY,,,
BanBajío,1,0,0,0,12.0,BANBAJÍO,,,
Banco BS2,1,0,0,0,12.0,BANCO BS2,,,
Banco Internacional,1,0,0,0,31.0,BANCO INTERNACIONAL,,,
Banco PAN,1,0,0,0,23.0,BANCO PAN,,,
Banco Promerica Guatemala,1,0,0,0,8.0,BANCO PROMERICA GUATEMALA,,,
Banco Rendimento,1,0,0,0,13.0,BANCO RENDIMENTO,,,
Banco Sofisa S/A,1,0,0,0,8.0,BANCO SOFISA,,,
Banco de Seguros del Estado,1,0,0,0,12.0,BANCO DE SEGUROS DEL ESTADO,,,
Banco del Sol,1,0,0,0,14.0,BANCO DEL SOL,,,
Banff Lodging Company,1,0,0,0,25.0,BANFF LODGING COMPANY,,,
Banistmo,1,0,0,0,18.0,BANISTMO,,,
Bankaool,1,0,0,0,24.0,BANKAOOL,,,
Bankhaus Metzler,1,0,0,0,12.0,BANKHAUS METZLER,,,
Bankme,1,0,0,0,12.0,BANKME,,,
Baril Advogados,1,0,0,0,19.0,BARIL ADVOGADOS,,,
Bark.com,1,0,0,0,23.0,BARK.COM,,,
Basecone,1,0,0,0,36.0,BASECONE,,,
Basicfox,1,0,0,0,12.0,BASICFOX,,,
Baterias Pioneiro,1,0,0,0,22.0,BATERIAS PIONEIRO,,,
Bathildisheim e.V,1,0,0,0,12.0,BATHILDISHEIM E.V,,,
Baugesellschaft Hanau GmbH,1,0,0,0,12.0,BAUGESELLSCHAFT HANAU,,,
Baxter International Inc,1,0,0,0,23.0,BAXTER INTERNATIONAL,,,
Bayes Esports,1,0,0,0,25.0,BAYES ESPORTS,,,
Be Intelligence,1,0,0,0,12.0,BE INTELLIGENCE,,,
BeNEX Akademie GmbH & Co. KG,1,0,0,0,12.0,BENEX AKADEMIE & CO,,,
BeSmart Corp,1,0,0,0,25.0,BESMART,,,
Beach Bum,1,0,0,0,25.0,BEACH BUM,,,
Beatriz Herdy,1,0,0,0,13.0,BEATRIZ HERDY,,,
Bee Engineering ICT,1,0,0,0,22.0,BEE ENGINEERING ICT,,,
Belastingdienst,1,0,0,0,15.0,BELASTINGDIENST,,,
Bemobi,1,0,0,0,12.0,BEMOBI,,,
Bending Spoons,1,0,0,0,22.0,BENDING SPOONS,,,
Berger Bau- und Industriebedarf GmbH,1,0,0,0,12.0,BERGER BAU- UND INDUSTRIEBEDARF,,,
Bernoulli Educação,1,0,0,0,8.0,BERNOULLI EDUCAÇÃO,,,
Better Collective,1,0,0,0,27.0,BETTER COLLECTIVE,,,
Bettermile,1,0,0,0,21.0,BETTERMILE,,,
Bi Smart,1,0,0,0,35.0,BI SMART,,,
"BiDATiA, el poder del dato",1,0,0,0,23.0,"BIDATIA, EL PODER DEL DATO",,,
Bildungsreif,1,0,0,0,12.0,BILDUNGSREIF,,,
Billie,1,0,0,0,25.0,BILLIE,,,
Bind México,1,0,0,0,34.0,BIND MÉXICO,,,
Birdie,1,0,0,0,18.0,BIRDIE,,,
Bits&Cream,1,0,0,0,34.0,BITS&CREAM,,,
Black Cat Services,1,0,0,0,12.0,BLACK CAT,,,
Blackstraw,1,0,0,0,19.0,BLACKSTRAW,,,
BlueCross & BlueShield de Uruguay,1,0,0,0,37.0,BLUECROSS & BLUESHIELD DE URUGUAY,,,
Bluer Tecnologia,1,0,0,0,12.0,BLUER TECNOLOGIA,,,
Bluhm Systeme GmbH,1,0,0,0,18.0,BLUHM SYSTEME,,,
Boen Groen,1,0,0,0,12.0,BOEN GROEN,,,
Bold Metrics Inc,1,0,0,0,24.0,BOLD METRICS,,,
Bold Talent Co,1,0,0,0,15.0,BOLD TALENT CO,,,
Bold.co,1,0,0,0,28.0,BOLD.CO,,,
Bombon Boss,1,0,0,0,25.0,BOMBON BOSS,,,
Bombril,1,0,0,0,18.0,BOMBRIL,,,
Bond Global,1,0,0,0,50.0,BOND,,,
Bondalti,1,0,0,0,25.0,BONDALTI,,,
Bosch Rexroth,1,0,0,0,27.0,BOSCH REXROTH,,,
Bosonit,1,0,0,0,27.0,BOSONIT,,,
Bouwhuysch,1,0,0,0,12.0,BOUWHUYSCH,,,
Bracell,1,0,0,0,9.0,BRACELL,,,
Branching Minds,1,0,0,0,33.0,BRANCHING MINDS,,,
Bravia RH I Gestão Estratégica de Pessoas,1,0,0,0,19.0,BRAVIA RH I GESTÃO ESTRATÉGICA DE PESSOAS,,,
Bravos Energía,1,0,0,0,23.0,BRAVOS ENERGÍA,,,
BredenMaster,1,0,0,0,12.0,BREDENMASTER,,,
Bridge & Co,1,0,0,0,8.0,BRIDGE & CO,,,
Bridgenext,1,0,0,0,31.0,BRIDGENEXT,,,
Brightman. IT Recruiting Agency,1,0,0,0,21.0,BRIGHTMAN. IT RECRUITING AGENCY,,,
Broker IA,1,0,0,0,19.0,BROKER IA,,,
Brooks Automation,1,0,0,0,39.0,BROOKS AUTOMATION,,,
Brown & McCrow,1,0,0,0,25.0,BROWN & MCCROW,,,
Brown-Forman,1,0,0,0,13.0,BROWN-FORMAN,,,
BuildUp,1,0,0,0,12.0,BUILDUP,,,
Bundesagentur für Arbeit,1,0,0,0,12.0,BUNDESAGENTUR FÜR ARBEIT,,,
Bunge,1,0,0,0,12.0,BUNGE,,,
Büsser & Zeidler AG,1,0,0,0,12.0,BÜSSER & ZEIDLER,,,
C3 Engenharia & Soluções,1,0,0,0,7.0,C3 ENGENHARIA & SOLUÇÕES,,,
CARE Vision Augenkliniken,1,0,0,0,12.0,CARE VISION AUGENKLINIKEN,,,
CARNES RIKATAS,1,0,0,0,15.0,CARNES RIKATAS,,,
CConecta RH,1,0,0,0,19.0,CCONECTA RH,,,
CEERT Equidade Racial e de Gênero,1,0,0,0,8.0,CEERT EQUIDADE RACIAL E DE GÊNERO,,,
CEMA Construções e Tecnologia,1,0,0,0,18.0,CEMA CONSTRUÇÕES E TECNOLOGIA,,,
CEMPRE Uruguay,1,0,0,0,52.0,CEMPRE URUGUAY,,,
CENTURY 21 Nações,1,0,0,0,22.0,CENTURY 21 NAÇÕES,,,
CERN,1,0,0,0,7.0,CERN,,,
CEVA Logistics,1,0,0,0,24.0,CEVA LOGISTICS,,,
CEVA SAUDE ANIMAL,1,0,0,0,19.0,CEVA SAUDE ANIMAL,,,
CGS Consultores Reclutamiento de Personal,1,0,0,0,19.0,CGS CONSULTORES RECLUTAMIENTO DE PERSONAL,,,
CHS América do Sul,1,0,0,0,27.0,CHS AMÉRICA DO SUL,,,
CIB Egypt,1,0,0,0,12.0,CIB EGYPT,,,
CIEE - Centro de Integração Empresa-Escola,1,0,0,0,8.0,CIEE - CENTRO DE INTEGRAÇÃO EMPRESA-ESCOLA,,,
CJ Recruitment,1,0,0,0,28.0,CJ RECRUITMENT,,,
"CLI - Integração, IA, Tax, Dados",1,0,0,0,21.0,"CLI - INTEGRAÇÃO, IA, TAX, DADOS",,,
CLIDAL,1,0,0,0,8.0,CLIDAL,,,
CLIMB,1,0,0,0,22.0,CLIMB,,,
CMO Vendas,1,0,0,0,8.0,CMO VENDAS,,,
COCUS,1,0,0,0,23.0,COCUS,,,
COEXPAN,1,0,0,0,37.0,COEXPAN,,,
CONAPROLE,1,0,0,0,22.0,CONAPROLE,,,
CONEXIONHR - Recruiting Company,1,0,0,0,15.0,CONEXIONHR - RECRUITING COMPANY,,,
CONTALENTO Strategy For People,1,0,0,0,30.0,CONTALENTO STRATEGY FOR PEOPLE,,,
